16108133,The Sacred Alignments and Dark Side of Sigils,Robert Podgurski,"Podgurski, Robert",,,,0,4.83,Mandrake Press Ltd,Hardcover,222,2012,2012,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#276), witchcraft (#50), to-read (#625)",to-read,,,,0,0
50497822,Moon Bath: Bathing Rituals and Recipes for Relaxation and Vitality,Dakota Hills,"Hills, Dakota",Sierra Brashear,1452184771,9781452184777,0,4.16,Chronicle Books,Hardcover,168,2020,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#275), witchcraft (#49), to-read (#624)",to-read,,,,0,0
61341895,"Hoodoo for Everyone: Modern Approaches to Magic, Conjure, Rootwork, and Liberation",Sherry Shone,"Shone, Sherry",,1623177081,9781623177089,0,3.7,North Atlantic Books,Paperback,312,2022,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#274), witchcraft (#48), to-read (#623)",to-read,,,,0,0
52926258,The Ultimate Guide to Witchcraft: A Modern-Day Guide to Making Magick,Anjou Kiernan,"Kiernan, Anjou",,1592339298,9781592339297,0,4.29,Fair Winds Press,Paperback,192,2020,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#273), witchcraft (#47), to-read (#622)",to-read,,,,0,0
54817713,The Path of the Witch: Rituals  Practices for Discovering Which Witch You Are,Lidia Pradas,"Pradas, Lidia",,1589239830,9781589239838,0,4.33,Fair Winds Press,Paperback,176,2021,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#272), witchcraft (#46), to-read (#621)",to-read,,,,0,0
61887221,"The Wayward Writer: Summon Your Power to Take Back Your Story, Liberate Yourself from Capitalism, and Publish Like a Superstar",Ariel Gore,"Gore, Ariel",,1648411843,9781648411847,0,4.8,,Paperback,,2022,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#271), witchcraft (#45), to-read (#620)",to-read,,,,0,0
60019282,"Kitchen Witch: Natural Remedies and Crafts for Home, Health, and Beauty",Katie Haegele,"Haegele, Katie",Nadine  Schneider,1648410413,9781648410413,0,4.17,Microcosm Publishing,Hardcover,256,2021,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#270), witchcraft (#44), to-read (#619)",to-read,,,,0,0
20697539,Healing Magic: A Green Witch Guidebook to Conscious Living,Robin Rose Bennett,"Bennett, Robin Rose",Susun S.  Weed,1583948376,9781583948378,0,3.9,North Atlantic Books,Paperback,264,2014,2014,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#269), witchcraft (#43), to-read (#618)",to-read,,,,0,0
57228475,"Postcolonial Astrology: Reading the Planets through Capital, Power, and Labor",Alice Sparkly Kat,"Kat, Alice Sparkly",,,9781623175306,0,4.09,North Atlantic Books,Paperback,336,2021,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#268), witchcraft (#42), to-read (#617)",to-read,,,,0,0
51182114,Unfamiliar Familiars: Extraordinary Animal Companions for the Modern Witch,Megan Lynn Kott,"Kott, Megan Lynn",Justin DeVine,1797200771,9781797200774,0,4.16,Chronicle Books,Hardcover,96,2020,2020,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#267), witchcraft (#41), to-read (#616)",to-read,,,,0,0
